locality,region,Month,Room_nights_occupied,Room_nights_available,Takings_from_accommodation,Average_takings_per_room_night_occupied
Horsham,Western Grampians,August,,,,
Hamilton (Vic.),Western Grampians,August,1536.00,3906.00,194674.00,126.74
Southern Grampians,Western Grampians,August,,,,
Maryborough (Vic.),Bendigo Loddon,August,1026.00,1860.00,120200.00,117.15
Bendigo,Bendigo Loddon,August,9076.00,14508.00,1075777.00,118.53
California Gully - Eaglehawk,Bendigo Loddon,August,,,,
East Bendigo - Kennington,Bendigo Loddon,August,2509.00,4774.00,336000.00,133.92
Kangaroo Flat - Golden Square,Bendigo Loddon,August,,,,
White Hills - Ascot,Bendigo Loddon,August,,,,
Castlemaine,Bendigo Loddon,August,598.00,1705.00,83767.00,140.09
Loddon,Bendigo Loddon,August,,,,
Carrum Downs,Peninsula,August,,,,
Frankston,Peninsula,August,4234.00,7843.00,583730.00,137.88
Seaford,Peninsula,August,,,,
Flinders,Peninsula,August,,,,
Hastings - Somers,Peninsula,August,,,,
Mornington,Peninsula,August,,,,
Mount Eliza,Peninsula,August,,,,
Point Nepean,Peninsula,August,3304.00,8587.00,514198.00,155.63
Rosebud - McCrae,Peninsula,August,,,,
Somerville,Peninsula,August,,,,
Echuca,Central Murray,August,6422.00,13423.00,707115.00,110.11
Rochester,Central Murray,August,,,,
Cobram,Central Murray,August,,,,
Yarrawonga,Central Murray,August,,,,
Euroa,Goulburn,August,,,,
Kilmore - Broadford,Goulburn,August,,,,
Nagambie,Goulburn,August,597.00,2356.00,72759.00,121.87
Seymour,Goulburn,August,1151.00,1488.00,134826.00,117.16
Seymour Region,Goulburn,August,,,,
Wallan,Goulburn,August,,,,
Mooroopna,Goulburn,August,,,,
Shepparton - North,Goulburn,August,2732.00,5487.00,321990.00,117.86
Shepparton - South,Goulburn,August,7621.00,12462.00,937124.00,122.97
Mansfield (Vic.),High Country,August,11694.00,16461.00,4134578.00,353.55
Benalla,High Country,August,1604.00,3100.00,174313.00,108.67
Rutherglen,High Country,August,634.00,1457.00,85532.00,134.91
Wangaratta,High Country,August,4402.00,7998.00,592149.00,134.53
Wangaratta Region,High Country,August,,,,
Beechworth,High Country,August,712.00,1953.00,90849.00,127.60
Towong,High Country,August,1061.00,1953.00,144355.00,136.00
Bright - Mount Beauty,High Country,August,16834.00,31155.00,4767990.00,283.23
Myrtleford,High Country,August,,,,
Yackandandah,High Country,August,,,,
Bairnsdale,Lakes,August,2675.00,6634.00,323658.00,120.99
Bruthen - Omeo,Lakes,August,,,,
Lakes Entrance,Lakes,August,3620.00,13764.00,372413.00,102.89
Orbost,Lakes,August,517.00,1984.00,56754.00,109.78
Paynesville,Lakes,August,,,,
Drouin,Gippsland,August,,,,
Mount Baw Baw Region,Gippsland,August,,,,
Warragul,Gippsland,August,1181.00,3255.00,141237.00,119.59
Foster,Gippsland,August,,,,
Korumburra,Gippsland,August,,,,
Leongatha,Gippsland,August,,,,
Moe - Newborough,Gippsland,August,,,,
Morwell,Gippsland,August,1610.00,4805.00,169110.00,105.03
Traralgon,Gippsland,August,4680.00,8804.00,633639.00,135.39
Maffra,Gippsland,August,,,,
Sale,Gippsland,August,4312.00,9672.00,544517.00,126.29
Yarram,Gippsland,August,,,,
Eltham,Melbourne East,August,,,,
Chirnside Park,Melbourne East,August,,,,
Healesville - Yarra Glen,Melbourne East,August,,,,
Kilsyth,Melbourne East,August,,,,
Lilydale - Coldstream,Melbourne East,August,1165.00,3193.00,201992.00,173.42
Mount Dandenong - Olinda,Melbourne East,August,,,,
Mount Evelyn,Melbourne East,August,,,,
Yarra Valley,Melbourne East,August,,,,
Beaconsfield - Officer,Melbourne East,August,,,,
Belmont,Geelong,August,,,,
Corio - Norlane,Geelong,August,,,,
Geelong,Geelong,August,11067.00,19840.00,1518310.00,137.19
Geelong West - Hamlyn Heights,Geelong,August,,,,
Newtown (Vic.),Geelong,August,597.00,2170.00,66724.00,111.77
North Geelong - Bell Park,Geelong,August,,,,
Ocean Grove - Barwon Heads,Geelong,August,,,,
Portarlington,Geelong,August,,,,
Queenscliff,Geelong,August,,,,
Woodend,Macedon,August,,,,
Macedon,Macedon,August,,,,
Romsey,Macedon,August,,,,
Creswick - Clunes,Spa Country ,August,,,,
Daylesford,Spa Country ,August,,,,
Alfredton,Ballarat,August,1930.00,5022.00,184974.00,95.84
Ballarat,Ballarat,August,5827.00,11935.00,821861.00,141.04
Ballarat - North,Ballarat,August,,,,
Ballarat - South,Ballarat,August,4036.00,8184.00,568215.00,140.79
Delacombe,Ballarat,August,,,,
Avoca,Central Highlands,August,,,,
Ararat,Central Highlands,August,1133.00,1860.00,113065.00,99.79
St Arnaud,Central Highlands,August,,,,
Stawell,Central Highlands,August,,,,
Alexandra,Upper Yarra,August,,,,
Yea,Upper Yarra,August,,,,
Wodonga,Murray East,August,3660.00,7688.00,494881.00,135.22
Phillip Island,Phillip Island,August,,,,
Wonthaggi - Inverloch,Phillip Island,August,,,,
Brunswick,Melbourne,September,2682.00,4800.00,358290.00,133.60
Thornbury,Melbourne,September,,,,
Essendon - Aberfeldie,Melbourne,September,3567.00,5130.00,524104.00,146.93
Flemington,Melbourne,September,,,,
Moonee Ponds,Melbourne,September,,,,
Carlton,Melbourne,September,11184.00,20940.00,1636252.00,146.30
Docklands,Melbourne,September,32224.00,35490.00,5699701.00,176.88
East Melbourne,Melbourne,September,29760.00,44940.00,5255757.00,176.60
Melbourne,Melbourne,September,317523.00,388035.00,54402967.00,171.34
North Melbourne,Melbourne,September,3758.00,7050.00,488006.00,129.87
