locality,region,Month,Room_nights_occupied,Room_nights_available,Takings_from_accommodation,Average_takings_per_room_night_occupied
Mount Waverley - South,Melbourne,December,,,,
Mulgrave,Melbourne,December,,,,
Oakleigh - Huntingdale,Melbourne,December,,,,
Ardeer - Albion,Melbourne,December,,,,
Taylors Lakes,Melbourne,December,,,,
Williamstown,Melbourne,December,3294.00,4433.00,902154.00,273.88
Footscray,Melbourne,December,,,,
Caroline Springs,Melbourne,December,,,,
Melton,Melbourne,December,,,,
Melton South,Melbourne,December,,,,
Hoppers Crossing - North,Melbourne,December,,,,
Laverton,Melbourne,December,,,,
Point Cook,Melbourne,December,,,,
Werribee - South,Melbourne,December,3530.00,5921.00,638556.00,180.89
Nhill Region,Wimmera,December,,,,
Buloke,Wimmera,December,,,,
Mildura,Mallee,December,13529.00,27807.00,1467401.00,108.46
Mildura Region,Mallee,December,,,,
Red Cliffs,Mallee,December,,,,
Gannawarra,Mallee,December,,,,
Kerang,Mallee,December,,,,
Swan Hill,Mallee,December,5119.00,10168.00,557496.00,108.92
Swan Hill Region,Mallee,December,,,,
Lorne - Anglesea,Western,December,6076.00,10757.00,1258354.00,207.10
Torquay,Western,December,4941.00,7626.00,785288.00,158.93
Portland,Western,December,2779.00,5456.00,378676.00,136.26
Camperdown,Western,December,,,,
Colac,Western,December,2240.00,3441.00,218839.00,97.70
Corangamite - South,Western,December,2979.00,3596.00,584929.00,196.37
Moyne - West,Western,December,2445.00,3844.00,419181.00,171.41
Otway,Western,December,,,,
Warrnambool - North,Western,December,2189.00,5146.00,252295.00,115.26
Warrnambool - South,Western,December,10058.00,16926.00,1706785.00,169.69
Horsham,Western Grampians,December,,,,
Hamilton (Vic.),Western Grampians,December,1406.00,3906.00,174798.00,124.32
Southern Grampians,Western Grampians,December,,,,
Maryborough (Vic.),Bendigo Loddon,December,775.00,1891.00,102893.00,132.77
Bendigo,Bendigo Loddon,December,8646.00,14508.00,1050134.00,121.46
California Gully - Eaglehawk,Bendigo Loddon,December,,,,
East Bendigo - Kennington,Bendigo Loddon,December,1907.00,4774.00,277899.00,145.73
Kangaroo Flat - Golden Square,Bendigo Loddon,December,,,,
White Hills - Ascot,Bendigo Loddon,December,,,,
Castlemaine,Bendigo Loddon,December,909.00,1705.00,95223.00,104.79
Loddon,Bendigo Loddon,December,,,,
Carrum Downs,Peninsula,December,,,,
Frankston,Peninsula,December,5163.00,7843.00,750138.00,145.29
Seaford,Peninsula,December,,,,
Flinders,Peninsula,December,,,,
Hastings - Somers,Peninsula,December,,,,
Mornington,Peninsula,December,,,,
Mount Eliza,Peninsula,December,,,,
Point Nepean,Peninsula,December,5087.00,8587.00,966675.00,190.03
Rosebud - McCrae,Peninsula,December,,,,
Somerville,Peninsula,December,,,,
Echuca,Central Murray,December,7295.00,13423.00,920194.00,126.14
Rochester,Central Murray,December,,,,
Cobram,Central Murray,December,,,,
Yarrawonga,Central Murray,December,,,,
Euroa,Goulburn,December,,,,
Kilmore - Broadford,Goulburn,December,,,,
Nagambie,Goulburn,December,858.00,2356.00,106811.00,124.49
Seymour,Goulburn,December,1240.00,1488.00,171816.00,138.58
Seymour Region,Goulburn,December,,,,
Wallan,Goulburn,December,,,,
Mooroopna,Goulburn,December,,,,
Shepparton - North,Goulburn,December,2534.00,5673.00,311471.00,122.90
Shepparton - South,Goulburn,December,5808.00,12462.00,858502.00,147.82
Mansfield (Vic.),High Country,December,4222.00,11501.00,494921.00,117.22
Benalla,High Country,December,1601.00,3131.00,181644.00,113.46
Rutherglen,High Country,December,,,,
Wangaratta,High Country,December,3938.00,7998.00,534502.00,135.73
Wangaratta Region,High Country,December,,,,
Beechworth,High Country,December,903.00,1953.00,114278.00,126.55
Towong,High Country,December,1143.00,1953.00,104088.00,91.09
Bright - Mount Beauty,High Country,December,3700.00,19189.00,500737.00,135.35
Myrtleford,High Country,December,,,,
Yackandandah,High Country,December,,,,
Bairnsdale,Lakes,December,3468.00,6634.00,473915.00,136.65
Bruthen - Omeo,Lakes,December,,,,
Lakes Entrance,Lakes,December,9160.00,13764.00,1278456.00,139.56
Orbost,Lakes,December,1060.00,1984.00,121638.00,114.75
Paynesville,Lakes,December,,,,
Drouin,Gippsland,December,,,,
Mount Baw Baw Region,Gippsland,December,,,,
Warragul,Gippsland,December,1860.00,3255.00,233039.00,125.29
Foster,Gippsland,December,,,,
Korumburra,Gippsland,December,,,,
Leongatha,Gippsland,December,,,,
Moe - Newborough,Gippsland,December,,,,
Morwell,Gippsland,December,1354.00,4836.00,144456.00,106.70
Traralgon,Gippsland,December,3422.00,8804.00,573239.00,167.52
Maffra,Gippsland,December,,,,
Sale,Gippsland,December,4179.00,9672.00,573327.00,137.19
Yarram,Gippsland,December,,,,
Eltham,Melbourne East,December,,,,
Chirnside Park,Melbourne East,December,,,,
Healesville - Yarra Glen,Melbourne East,December,,,,
Kilsyth,Melbourne East,December,,,,
Lilydale - Coldstream,Melbourne East,December,1160.00,3193.00,221135.00,190.67
Mount Dandenong - Olinda,Melbourne East,December,,,,
Mount Evelyn,Melbourne East,December,,,,
Yarra Valley,Melbourne East,December,,,,
Beaconsfield - Officer,Melbourne East,December,,,,
Belmont,Geelong,December,,,,
Corio - Norlane,Geelong,December,,,,
Geelong,Geelong,December,12994.00,19840.00,2089940.00,160.84
Geelong West - Hamlyn Heights,Geelong,December,,,,
Newtown (Vic.),Geelong,December,719.00,2170.00,135109.00,187.91
North Geelong - Bell Park,Geelong,December,,,,
Ocean Grove - Barwon Heads,Geelong,December,,,,
Portarlington,Geelong,December,,,,
Queenscliff,Geelong,December,,,,
Woodend,Macedon,December,,,,
Macedon,Macedon,December,,,,
Romsey,Macedon,December,,,,
Creswick - Clunes,Spa Country ,December,,,,
Daylesford,Spa Country ,December,,,,
Alfredton,Ballarat,December,2203.00,5022.00,247917.00,112.56
Ballarat,Ballarat,December,6127.00,11935.00,913014.00,149.01
Ballarat - North,Ballarat,December,,,,
Ballarat - South,Ballarat,December,4499.00,8184.00,660265.00,146.76
Delacombe,Ballarat,December,,,,
Avoca,Central Highlands,December,,,,
Ararat,Central Highlands,December,862.00,1860.00,86882.00,100.79
St Arnaud,Central Highlands,December,,,,
Stawell,Central Highlands,December,,,,
Alexandra,Upper Yarra,December,,,,
Yea,Upper Yarra,December,,,,
Wodonga,Murray East,December,3852.00,7688.00,518053.00,134.50
Phillip Island,Phillip Island,December,,,,
Wonthaggi - Inverloch,Phillip Island,December,,,,



